[00:03] 人就是一个标准的通用的VOA模型大佬
[140:27] 一个刚才提到是决定要做这样的时间
[140:29] 另一个部分的话
[140:30] 为什么这个时间点
[140:31] 我们相对做的还是像比较早的一个时间
[140:35] 为什么这个时间点就开始做呢
[140:36] 也是因为当时看到
[140:38] 像这个特斯拉
[140:41] 和小米他们二年都发布了他们的基金
[140:43] 但是一方面就预判这个未来产业
[140:47] 这块会起来
[140:48] 这些公司都会入场
[140:50] 开始陆续入场的
[140:52] 然后他们的资源是比较多的
[140:55] 在学校的话虽然资源也很丰富但是
[140:58] 到后面竞争起来的话
[141:00] 如果我一个小实验室是很难跟一家
[141:04] 大型的这个
[141:06] 公司去
[141:06] 竞争的
[141:07] 或者赛跑吧
[141:08] 我们刚才说的这些通用架构你是放在高校做还是放在创业做
[141:12] 大致分一下就是说
[141:14] 比如说整个工程化的架构的话
[141:17] 那主要是公司这边
[141:18] 然后学生主要是做前沿的AI探索
[141:22] 那可能会用一部分我们的这个
[141:25] 工程化的一些架构比如说用我们的硬件平台
[141:28] 用我们的一些infra
[141:29] 包括一些数据或者等等
[141:31] 比较前沿的这样的探索
[141:34] 作为一个创业公司你们现在的产品
[141:36] 是什么方向
[141:38] 因为我理解
[141:39] 其实人工机器人还很早期
[141:41] 对就是这块我们坚弱力其实会分三个大的阶段
[141:45] 我们把它叫做2A 2B和2C
[141:47] 2B和2C可能大家了解比较多
[141:49] 2A是A是Academia
[141:51] 所以基本上来说因为
[141:54] 现阶段是在一个机器人这种它是一个新的品类
[141:57] 是在这种新的品类的导入的
[141:59] 时期
[142:00] 导入的时期最先去
[142:02] 接触愿意去购买的
[142:04] 就是
[142:05] 做这些最前
[142:06] 前沿的
[142:07] 研究和技术以及极客技术开发等等的
[142:11] 在这个阶段的应用也需要一些探索
[142:14] 相当于是在这个阶段
[142:16] 的话那么我们会
[142:18] 直接面向这些刚才说的这些创新者
[142:21] 然后去售卖咱们产品
[142:22] 这个我们已经在开始了就我们的林桥手已经是在批量的在去销售
[142:27] 各类客户国内外各大高校和
[142:29] 这个公司的
[142:31] 客户也已经比较多了
[142:33] 基本上商业闭环这块是转起来
[142:35] 这个阶段呢
[142:36] 包括
[142:37] 主体是什么呢
[142:39] 主体是
[142:40] 比如说高校的研究者
[142:42] 还有包括企业的这个研究者或者是对就是新的技术应用方向感兴趣的一些
[142:48] 可能是专业公司然后可能是这个
[142:51] 大厂考虑他自己的应用生态
[142:54] 所以这个阶段大体上一个是说大家会研究
[142:57] 这种新的
[142:58] 新品的机器人
[142:59] 他的技术怎么去改进这是
[143:02] 高校科研的用户
[143:04] 比较喜欢去考虑的
[143:05] 然后另一部分就是说
[143:06] 会考虑这种新的产品
[143:08] 然后他怎么去用起来
[143:10] 那比如说我们也有很多用户
[143:12] 是制造类的
[143:13] 这些企业用户
[143:15] 他们考虑比如说
[143:16] 这种新类的
[143:17] 新品类的机器人比如说林教授
[143:19] 是不是能够用来帮助这个产线的
[143:23] 这个效率的提升
[143:24] 等等那么还有一些
[143:26] 巨声智能的公司
[143:28] 他需要比如说跟
[143:30] 相应的这个他们能力可能
[143:32] 不是特别权占然后需要
[143:34] 我们这边一些产品来去补足
[143:35] 比如说基于我们的
[143:36] 我们这块的
[143:37] 产品去做相应的一些应用
[143:39] 等等
[143:40] 逐步的逐步的
[143:41] 我们就会比如说对这个技术
[143:44] 技术也在不断的发展
[143:46] 逐步的成熟
[143:46] 然后同时的话我们对他的应用商业模式看得更加清楚了
[143:51] 我们就可能就会知道那么这个
[143:53] 新的品类的这个机器人咱们商业模式怎么去做然后技术
[143:57] 并且怎么把它去做到比较ready
[144:00] 这个就会逐步的到我们2B的阶段
[144:02] 但这个阶段我们已经自己已经开始在做了就是我们在跟一些
[144:06] 企业的一些合作方特别是场景合作方
[144:09] 制造类的
[144:10] 或者服务类的我们都有一些合作
[144:13] 他们这边会提供一些场景包括可能一些数据
[144:17] 然后以及对他们这个场景的一些
[144:20] 和相应的商业化上面的一些认知
[144:23] 然后我们和他共同的来去
[144:25] 做这样的一个能满足
[144:28] 他的这个商业化场景的要求的这样的一个机器人产品
[144:32] 林乔手现在是成熟的吗
[144:35] 这个工业
[144:36] 整个行业还不算是成熟肯定还有在改的空间
[144:40] 但我们是推出来了一版成熟的产品
[144:43] 但就是说这还会再继续迭代
[144:45] 可以认为不算收敛
[144:46] 有的人觉得应该根据场景去定义机器人
[144:50] 但你不这么认为对吧
[144:51] 对那个是上一代那个是上一代机器人的做的事情
[144:56] 也不算证明fail至少证明这个没法scale
[144:59] 机器人领域的skilling law成立了吗
[145:03] 我们看到了这样的迹象
[145:04] 包括刚才我们展示一些模型
[145:06] 等等
[145:07] 就是
[145:08] 目前是在这个迹象上面
[145:10] 有那个Aha moment吗
[145:14] 这块还没到
[145:15] Aha moment还蛮前后
[145:16] Aha moment到圆模型都是在这个
[145:19] Deep Seek的时候才发现的嘛
[145:21] 所以这个机器人肯定是还没到这个时刻
[145:23] 但是当然有一个点就是说
[145:26] 我明显是找到了这样一种方式可以
[145:29] 持续快速的提升机器人的能力
[145:32] 这个能力的提升可以会持续好几年
[145:34] 意思就是接下来这几年每一年
[145:36] 就每一个月机器人的能力都会持续的提升
[145:39] 每一次能力的提升它都会带来
[145:41] 都可能会解锁
[145:43] 新的这样的应用商业机会
[145:45] 然后这个点在于就是我们不用等到它真的已经到Aha moment
[145:50] 然后才能开始去找应用
[145:51] 机器人的话是不用的
[145:53] 其实你想就是现在用起来的机器人
[145:55] 包括工业里面的工业机械币或者等等
[145:58] 它的智能几乎为零
[145:59] 但是也有万台级别这些出货量
[146:02] 也能用的很多
[146:03] 也养活了一大帮
[146:04] 上市的机器人公司
[146:06] 现在这个新的技术它必然是会带来能力的提升的
[146:10] 软硬件的能力的提升
[146:11] 这是必然的现在就正在这个
[146:13] 斜坡上
[146:15] 正在生长
[146:16] 我认为是在这个过程中就必然能沿途找到很多的
[146:19] 落地的机会
[146:21] 所以你跟那个AGI信徒是一个BET
[146:24] 就是模型能力提升然后沿途下产品的蛋
[146:27] 对是的是的
[146:29] 然后相对来说的话
[146:31] 我觉得机器人这一块沿途解锁应用的这个可以更快一些
[146:35] 可以比大模型更顺一些
[146:37] 为什么因为
[146:38] 大模型的话
[146:40] 它对智能性要求很高的它要真的来使用起来
[146:42] 就是你的语言的程度就比如说你
[146:45] 几年前的那种语言的
[146:46] 模型的能力的话你没法帮到你
[146:48] 就是它一定要
[146:49] 达到接近跟人的语言的水平类似的程度
[146:53] 它可能才能产生作用
[146:54] 所以基本上我们是看到在711之后才逐步的在考虑它真的一个
[146:59] 比较好的一些应用
[147:01] 但是这个对智能性要求就很高
[147:02] 因为你要达到人类级别的智能
[147:04] 就是语言是最代表智能性的
[147:07] 对吧
[147:08] 但对机器人来说为什么现在那些
[147:09] 即使没有任何AI模型的机器人都能用起来
[147:12] 因为
[147:12] 对机器人来说你只需要在某个动作上面去达到人类程度就行
[147:17] 很多动作它不一定要求的智能性很高
[147:20] 我直观感觉机器人应该比
[147:22] 语言模型更难
[147:23] 因为语言模型它不需要有动作
[147:25] 但你这个已经接触物理世界了
[147:28] 你要做到
[147:29] 完全跟人一样的泛化
[147:32] 而且包括了
[147:33] 而且还包含人的这些
[147:35] 对视觉对
[147:37] 语言的处理的包括思维的各种能力
[147:40] 就不光是动作所有这些能力你都
[147:42] 要跟人对齐并且在任何的场景
[147:45] 对吧
[147:46] 任何的情况下都能跟人类匹敌
[147:50] 这个事情肯定是比语言要难的
[147:52] 因为它是更广泛的一个事情
[147:54] 但是你也可以认为就是为什么之前的机器人能用进去
[147:59] 特别是在制造类的
[148:01] 这些里面就是本身
[148:03] 制造业
[148:04] 它就是工序
[148:05] 分得就很细了
[148:06] 对你一个工人就只需要做这一件事情
[148:09] 所以说它对这个事情的要求
[148:11] 对智能性的要求就降低了
[148:14] 所以为什么也是我们首先要选择到2B
[148:17] 然后再到2C
[148:18] 因为到家庭里面对泛化性要求就很高
[148:21] 但是
[148:22] 就是说言出下单的话
[148:23] 在B端有很多很多的
[148:25] 这样的一个
[148:28] 我们认为这样的潜在的机会可以去做
[148:31] 我理解你创业其实是你高校工作的一个延伸对吗
[148:34] 就是这样产业
[148:35] 的延伸
[148:36] 可以这么理解
[148:37] 因为现在其实最重要的还是研发
[148:40] 先这个技术
[148:42] 出来这个是你能继续做新的
[148:45] 商业应用探索的这个前提
[148:47] 好了这期节目就是这样
[149:05] 如果你喜欢我的节目欢迎前往小宇宙苹果podcast
[149:10] 腾讯新闻
[149:11] 喜马拉雅
[149:12] QQ音乐
[149:13] 订阅张小俊商业访谈录
[149:15] 如果你有其他想邀请的嘉宾想听的内容或者你有任何想探讨的话题
[149:20] 都欢迎各位听众朋友们在评论区里留言
[149:24] 那我们下期再见拜拜
